agile_exp,scaled_agile_exp,business_unit,role,p6_lean_gov,p6_lean_gov_2,p6_value_stream,p6_prog_selection,p6_portfolio_opt,p6_strategy_funding,p7_pi_planning,p7_system_demo,p7_inspect_adapt,p7_cont_exploration,p7_cont_integration,p7_cont_deployment,p7_compliance,p7_release_demand,p8_delivery,p8_define,p8_build,p8_test,p8_deploy,i9_lean_gov,i9_value_stream,i9_prog_selection,i9_portfolio_opt,i9_strategy_funding,i10_pi_planning,i10_system_demo,i10_inspect_adapt,i10_cont_exploration,i10_cont_integration,i10_cont_deployment,i10_compliance,i10_release_demand,i11_delivery,i11_define,i11_build,i11_test,i11_deploy,s12_goals_met,s12_governance,s12_benefits_realise,s12_market_impact,s12_industry_impact,s12_competitive,s12_investor,s12_regulator,s12_portfolio_financial,s12_strategy_alignment,s12_product_balance,s12_product_success,s13_ownership_benefits,s13_benefit_alignment,s13_compliance,s13_strategy_align,s13_stakeholder_eng,s14_specs_met,s14_customer_accept,s14_cust_satisfaction,s14_schedule_budget,s14_product_used,s14_delivery,agile_exp_label,scaled_agile_exp_label,business_unit_label,role_label,overall_success
2,7,1,13,3,3,4,3,4,4,2,5,2,4,4,2,4,2,2,2,2,2,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,2,2,2,2,3,1,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1–2 yrs,None,IT,Other,2.5652173913043477
1,1,1,13,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,3,4,5,5,4,3,5,4,3,4,5,5,5,5,5,5,4,3,4,3,4,2,4,4,3,2,4,4,4,3,4,4,4.0,3.0,2.0,4.0,4.0,2.0,4.0,< 1 yr,< 1 yr,IT,Other,3.4347826086956523
1,1,1,13,5,2,1,3,2,3,2,4,3,3,3,2,3,2,2,4,4,3,2,1,2,3,3,3,2,3,3,3,3,3,3,3,5,3,4,3,5,4,3,2,1,2,2,2,3,3,3,1,2,3,3,2,3,2.0,1.0,2.0,2.0,1.0,2.0,2.0,< 1 yr,< 1 yr,IT,Other,2.217391304347826
1,1,1,2,2,3,3,3,4,2,2,3,3,3,3,4,4,2,4,3,4,3,5,2,3,3,4,2,3,3,3,4,3,2,5,3,4,3,4,3,2,2,2,3,2,2,2,2,2,3,3,2,2,2,1,3,2,3.0,2.0,2.0,2.0,2.0,3.0,2.0,< 1 yr,< 1 yr,IT,Product Owner,2.217391304347826
1,1,1,13,4,5,5,4,4,5,3,4,5,5,4,4,5,4,5,5,4,4,4,4,5,4,5,4,3,4,4,4,4,5,5,5,4,4,4,5,4,4,3,3,4,3,4,4,2,4,3,4,3,3,3,4,4,4.0,4.0,3.0,3.0,3.0,3.0,3.0,< 1 yr,< 1 yr,IT,Other,3.391304347826087
2,2,1,3,5,3,3,4,3,4,3,3,3,4,3,2,4,2,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,4,5,5,5,5,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3.0,4.0,3.0,3.0,3.0,3.0,4.0,1–2 yrs,1–2 yrs,IT,Developer,2.782608695652174
2,2,1,6,2,4,5,4,3,3,3,5,3,3,3,4,3,4,4,5,4,4,4,3,4,2,2,4,2,5,4,4,4,4,4,4,4,4,4,5,5,3,2,3,2,2,2,3,2,3,2,3,3,3,2,3,3,2.0,4.0,3.0,3.0,2.0,4.0,4.0,1–2 yrs,1–2 yrs,IT,Agile Coach,2.739130434782609
2,2,1,2,2,4,4,3,3,4,3,5,3,3,3,5,4,3,4,3,3,5,3,3,3,3,3,2,5,3,3,4,3,3,4,4,3,4,4,4,3,2,1,2,2,3,2,2,3,3,2,3,2,3,2,3,2,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1–2 yrs,1–2 yrs,IT,Product Owner,2.391304347826087
2,2,1,1,5,4,5,2,2,4,1,5,4,3,3,5,5,4,5,5,5,5,4,3,5,3,3,5,3,5,5,5,5,5,4,5,5,5,5,5,4,4,3,3,4,2,2,2,3,3,3,3,2,4,4,4,3,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1–2 yrs,1–2 yrs,IT,Scrum Master,3.217391304347826
1,1,1,1,4,3,4,3,4,4,4,4,3,3,5,5,4,3,4,5,4,3,4,3,3,3,3,4,3,4,4,3,5,5,4,3,3,4,4,4,4,3,3,3,1,1,1,2,3,2,3,3,3,2,2,4,3,3.0,3.0,3.0,3.0,2.0,3.0,4.0,< 1 yr,< 1 yr,IT,Scrum Master,2.608695652173913
